Zilla Name,Zilla Code,Division code
বরগুনা,4,10
বরিশাল,6,10
ভোলা,9,10
ঝালকাঠী,42,10
পটুয়াখালী,78,10
পিরোজপুর,79,10
বান্দরবান,3,20
ব্রাক্ষ্মণবাড়িয়া,12,20
চাঁদপুর,13,20
চট্টগ্রাম,15,20
কুমিল্লা,19,20
কক্সবাজার,22,20
ফেনী,30,20
খাগড়াছড়ি,46,20
লক্ষ্মীপুর,51,20
নোয়াখালী,75,20
রাঙ্গামাটি,84,20
ঢাকা,26,30
ফরিদপুর,29,30
গাজীপুর,33,30
গোপালগঞ্জ,35,30
জামালপুর,39,30
কিশোরগঞ্জ,48,30
মাদারীপুর,54,30
মানিকগঞ্জ,56,30
মুন্সীগঞ্জ,59,30
ময়মনসিংহ,61,30
নারায়নগঞ্জ,67,30
নরসিংদী,68,30
নেত্রকোণা,72,30
রাজবাড়ী,82,30
শরিয়তপুর,86,30
শেরপুর,89,30
টাঙ্গাইল,93,30
বাগেরহাট,1,40
চুয়াডাঙ্গা,18,40
যশোর,41,40
ঝিনাইদহ,44,40
খুলনা,47,40
কুষ্টিয়া,50,40
মাগুরা,55,40
মেহেরপুর,57,40
নড়াইল,65,40
সাতক্ষীরা,87,40
বগুড়া,10,50
জয়পুরহাট,38,50
নওগাঁ,64,50
নাটোর,69,50
চাঁপাই নবাবগঞ্জ,70,50
পাবনা,76,50
রাজশাহী,81,50
সিরাজগঞ্জ,88,50
দিনাজপুর,27,55
গাইবান্ধা,32,55
কুড়িগ্রাম,49,55
লালমনিরহাট,52,55
নীলফামারী,73,55
পঞ্চগড়,77,55
রংপুর,85,55
ঠাকুরগাঁও,94,55
হবিগঞ্জ,36,60
মৌলভীবাজার,58,60
সুনামগঞ্জ,90,60
সিলেট,91,60
