Zilla Code,Upazila Code,Union Name,Unioun
48,76,সিংপুর,85
48,76,সিংপুর,85
48,79,বুরুদিয়া,15
48,79,বুরুদিয়া,15
48,79,বুরুদিয়া,15
48,79,চন্ডিপাশা,19
48,79,চরফরাদি,28
48,79,চরফরাদি,28
48,79,এগারাসিন্দুর,38
48,79,এগারাসিন্দুর,38
48,79,হোসেন্দী,47
48,79,জাংগালিয়া,57
48,79,জাংগালিয়া,57
48,79,নারান্দী,66
48,79,নারান্দী,66
48,79,পাটুয়াভাঙ্গা,85
48,79,পাটুয়াভাঙ্গা,85
48,79,পাটুয়াভাঙ্গা,85
48,79,সুখিয়া,95
48,92,দামিহা,13
48,92,দামিহা,13
48,92,ধলা,27
48,92,ধলা,27
48,92,দিগদাইর,40
48,92,দিগদাইর,40
48,92,জাওয়ার,54
48,92,জাওয়ার,54
48,92,রাউতি,67
48,92,রাউতি,67
48,92,তালজাঙ্গা,81
48,92,তালজাঙ্গা,81
48,92,তাড়াইল সাচাইল,94
48,92,তাড়াইল সাচাইল,94
54,40,আলীনগর,11
54,40,আলীনগর,11
54,40,বালীগ্রাম,12
54,40,বালীগ্রাম,12
54,40,বাঁশগাড়ী,18
54,40,বাঁশগাড়ী,18
54,40,চরদৌলতখান,25
54,40,চরদৌলতখান,25
54,40,ডাসার,31
54,40,ডাসার,31
54,40,এনায়েতনগর,37
54,40,এনায়েতনগর,37
54,40,গোপালপুর,44
54,40,গোপালপুর,44
54,40,কয়ারিয়া,56
54,40,কয়ারিয়া,56
54,40,কাজীবাকাই,63
54,40,কাজীবাকাই,63
54,40,লক্ষ্মীপুর,69
54,40,লক্ষ্মীপুর,69
54,40,নবগ্রাম,75
54,40,নবগ্রাম,75
54,40,রমজানপুর,82
54,40,রমজানপুর,82
54,40,সাহেবরামপুর,88
54,40,সাহেবরামপুর,88
54,40,শিকারমঙ্গল,94
54,40,শিকারমঙ্গল,94
54,54,বাহাদুরপুর,10
54,54,বাহাদুরপুর,10
54,54,ছিলারচর,11
54,54,ছিলারচর,11
54,54,ধুরাইল,17
54,54,ধুরাইল,17
54,54,দুধখালী,23
54,54,দুধখালী,23
54,54,ঘাটমাঝি,29
54,54,ঘাটমাঝি,29
54,54,ঝাউদী,35
54,54,ঝাউদী,35
54,54,কালিকাপুর,41
54,54,কালিকাপুর,41
54,54,কেন্দুয়া,47
54,54,কেন্দুয়া,47
54,54,খোয়াজপুর,53
54,54,খোয়াজপুর,53
54,54,কুনিয়া ,59
54,54,কুনিয়া ,59
54,54,মস্তফাপুর,71
54,54,মস্তফাপুর,71
54,54,পাচঁখোলা,77
54,54,পাচঁখোলা,77
54,54,পেয়ারপুর,83
54,54,পেয়ারপুর,83
54,54,রাস্তি,89
54,54,রাস্তি,89
54,54,শিরখাড়া,94
54,54,শিরখাড়া,94
54,80,আমগ্রাম,13
54,80,আমগ্রাম,13
54,80,আমগ্রাম,13
54,80,বদরপাশা,19
54,80,বদরপাশা,19
54,80,বাজিতপুর,28
54,80,বাজিতপুর,28
54,80,হরিদাসদি মহেন্দ্রদী,31
54,80,হরিদাসদি মহেন্দ্রদী,31
54,80,হোসেনপুর,38
54,80,হোসেনপুর,38
54,80,ইশিবপুর,47
54,80,ইশিবপুর,47
54,80,ইশিবপুর,47
54,80,কবিরাজপুর,57
54,80,কবিরাজপুর,57
54,80,কদমবাড়ি,66
54,80,কদমবাড়ি,66
54,80,খালিয়া,76
54,80,খালিয়া,76
54,80,পাইকপাড়া,85
54,80,পাইকপাড়া,85
54,80,রাজৈর,95
54,80,রাজৈর,95
54,87,বন্দরখোলা,11
54,87,বন্দরখোলা,11
54,87,বাঁশকান্দি,13
54,87,বাঁশকান্দি,13
54,87,বাঁশকান্দি,13
54,87,বাঁশকান্দি,13
54,87,বহেরতলা দক্ষিণ,15
54,87,বহেরতলা দক্ষিণ,15
54,87,বহেরাতলা উত্তর,16
54,87,বহেরাতলা উত্তর,16
54,87,ভদ্রাসন,21
54,87,ভদ্রাসন,21
54,87,ভান্ডারীকান্দি,26
54,87,ভান্ডারীকান্দি,26
54,87,চরজানাজাত,31
54,87,চরজানাজাত,31
54,87,দত্তপাড়া,36
54,87,দত্তপাড়া,36
54,87,দত্তপাড়া,36
54,87,দ্বিতীয়খন্ড,42
54,87,দ্বিতীয়খন্ড,42
54,87,কাদিরপুর,47
54,87,কাদিরপুর,47
54,87,কাঁঠালবাড়ী,52
54,87,কাঁঠালবাড়ী,52
54,87,কুতুবপুর,58
54,87,কুতুবপুর,58
54,87,মাদবরেরচর,63
54,87,মাদবরেরচর,63
54,87,নিলখি,68
54,87,নিলখি,68
54,87,নিলখি,68
54,87,পাঁচচর,73
54,87,পাঁচচর,73
54,87,সন্যাসিরচর,79
54,87,সন্যাসিরচর,79
54,87,শিবচর,84
54,87,শিবচর,84
54,87,শিরুয়াইল,89
54,87,শিরুয়াইল,89
54,87,উমেদপুর,94
54,87,উমেদপুর,94
56,10,বাচামরা,17
56,10,বাচামরা,17
56,10,বাঘুটিয়া,19
56,10,বাঘুটিয়া,19
56,10,চক মিরপুর,28
56,10,চক মিরপুর,28
56,10,চক মিরপুর,28
56,10,চরকাটারী,38
56,10,চরকাটারী,38
56,10,ধামশ্বর,57
56,10,ধামশ্বর,57
56,10,জিয়নপুর,66
56,10,জিয়নপুর,66
56,10,জিয়নপুর,66
56,10,কালিয়া,76
56,10,কালিয়া,76
56,10,খলশী,85
56,10,খলশী,85
56,22,বালিয়াখোড়া,11
56,22,বালিয়াখোড়া,11
56,22,বানিয়াজুড়ী,23
56,22,বানিয়াজুড়ী,23
56,22,বড়টিয়া,35
56,22,বড়টিয়া,35
56,22,ঘিওর,47
56,22,ঘিওর,47
56,22,নালী,59
56,22,নালী,59
56,22,পয়লা,71
56,22,পয়লা,71
56,22,সিংজুড়ী,83
