DISTRICT GEO CODE,UPAJILA GEO CODE,MOUJA NAME,CS JL NO,CS DISTRICT,CS UPAJILA NAME,SA JL NO,SA DISTRICT,SA UPAJILA NAME,RS JL NO,RS DISTRICT,RS UPAJILA NAME
38,47,নওসাপুর,30,বগুড়া,জয়পুরহাট,30,বগুড়া,জয়পুরহাট,30,জয়পুরহাট,জয়পুরহাট 
38,47,বাশকাটা,183,বগুড়া,জয়পুরহাট,75,বগুড়া,জয়পুরহাট,67,জয়পুরহাট,জয়পুরহাট 
38,47,কমরপুর,16,বগুড়া,জয়পুরহাট,16,বগুড়া,জয়পুরহাট,16,জয়পুরহাট,জয়পুরহাট 
38,47,নিক্তিপাড়া,52,বগুড়া,জয়পুরহাট,52,বগুড়া,জয়পুরহাট,25,জয়পুরহাট,জয়পুরহাট 
38,47,তেরগাঁতী,19,বগুড়া,জয়পুরহাট ,19,বগুড়া,জয়পুরহাট ,18,জয়পুরহাট,জয়পুরহাট সদর
38,47,মল্লিকপুর,82,বগুড়া,জয়পুরহাট,42,বগুড়া,জয়পুরহাট,39,জয়পুরহাট,জয়পুরহাট 
38,47,মোজাহিদপুর,44,বগুড়া,জয়পুরহাট,44,বগুড়া,জয়পুরহাট,40,জয়পুরহাট,জয়পুরহাট 
38,47,ঘাসুরিয়া,54,বগুড়া,জয়পুরহাট,54,বগুড়া,জয়পুরহাট,49,জয়পুরহাট,জয়পুরহাট 
38,47,দেবরাইল,71,বগুড়া,জয়পুরহাট,71,বগুড়া,জয়পুরহাট,63,জয়পুরহাট,জয়পুরহাট 
38,47,মলয়পুর,181,বগুড়া,জয়পুরহাট,74,বগুড়া,জয়পুরহাট,66,জয়পুরহাট,জয়পুরহাট 
38,47,দিওর,72,বগুড়া,জয়পুরহাট,72,বগুড়া,জয়পুরহাট,65,জয়পুরহাট,জয়পুরহাট 
38,47,শালগাঁও,124,বগুড়া,জয়পুরহাট,126,বগুড়া,জয়পুরহাট,117,জয়পুরহাট,জয়পুরহাট 
38,47,ইছাহাকপুর,171,বগুড়া,জয়পুরহাট,168,বগুড়া,জয়পুরহাট,159,জয়পুরহাট,জয়পুরহাট 
38,47,নারায়নপাড়া,172,বগুড়া,জয়পুরহাট,163,বগুড়া,জয়পুরহাট,154,জয়পুরহাট,জয়পুরহাট 
38,47,বিলাসবাড়ী,87,বগুড়া,জয়পুরহাট,85,বগুড়া,জয়পুরহাট,77,জয়পুরহাট,জয়পুরহাট 
38,47,আউষগাড়া,102,বগুড়া,জয়পুরহাট,110,বগুড়া,জয়পুরহাট,101,জয়পুরহাট,জয়পুরহাট 
38,47,চক জয়কৃষ্ণপুর,93,বগুড়া,জয়পুরহাট,89,বগুড়া,জয়পুরহাট,81,জয়পুরহাট,জয়পুরহাট 
38,47,আটঠোকা,14,বগুড়া,জয়পুরহাট,14,বগুড়া,জয়পুরহাট,14,জয়পুরহাট,জয়পুরহাট 
38,47,চক কামাল,75,বগুড়া,জয়পুরহাট,83,বগুড়া,জয়পুরহাট,75,জয়পুরহাট,জয়পুরহাট 
38,47,পালী,170,বগুড়া,জয়পুরহাট,165,বগুড়া,জয়পুরহাট,156,জয়পুরহাট,জয়পুরহাট 
38,47,তেকানা,74,বগুড়া,জয়পুরহাট,78,বগুড়া,জয়পুরহাট,70,জয়পুরহাট,জয়পুরহাট 
38,47,কুচকুড়ি,76,বগুড়া,জয়পুরহাট,81,বগুড়া,জয়পুরহাট,73,জয়পুরহাট,জয়পুরহাট 
38,47,দেওনাহার,185,বগুড়া,জয়পুরহাট,76,বগুড়া,জয়পুরহাট,68,জয়পুরহাট,জয়পুরহাট 
38,47,উদপুর,28,বগুড়া,জয়পুরহাট,28,বগুড়া,জয়পুরহাট,29,জয়পুরহাট,জয়পুরহাট 
38,47,মহদীপুর,23,বগুড়া,জয়পুরহাট ,23,বগুড়া,জয়পুরহাট ,22,জয়পুরহাট,জয়পুরহাট সদর
38,47,ভাতকোটা,27,বগুড়া,জয়পুরহাট,27,বগুড়া,জয়পুরহাট,27,জয়পুরহাট,জয়পুরহাট 
38,47,ছাওয়ালপাড়া,79,বগুড়া,জয়পুরহাট,96,বগুড়া,জয়পুরহাট,88,জয়পুরহাট,জয়পুরহাট 
38,47,রহিমাপুর,8,বগুড়া,জয়পুরহাট,8,বগুড়া,জয়পুরহাট,8,জয়পুরহাট,জয়পুরহাট সদর
38,47,সুন্দরপুর,26,বগুড়া,জয়পুরহাট ,26,বগুড়া,জয়পুরহাট ,28,জয়পুরহাট,জয়পুরহাট সদর
38,47,আমদৈ গোপালপুর,137,বগুড়া,জয়পুরহাট,139,বগুড়া,জয়পুরহাট,130,জয়পুরহাট,জয়পুরহাট 
38,47,মুরারীপুর,135,বগুড়া,জয়পুরহাট,146,বগুড়া,জয়পুরহাট,137,জয়পুরহাট,জয়পুরহাট 
38,47,মাধাইনগর,12,বগুড়া,জয়পুরহাট ,12,বগুড়া,জয়পুরহাট ,12,জয়পুরহাট,জয়পুরহাট সদর
38,47,ধলাহার,5,বগুড়া,জয়পুরহাট ,5,বগুড়া,জয়পুরহাট ,5,জয়পুরহাট,জয়পুরহাট সদর
38,47,ছোট বালিয়াতোর,7,বগুড়া,জয়পুরহাট ,7,বগুড়া,জয়পুরহাট ,7,জয়পুরহাট,জয়পুরহাট সদর
38,47,জগদিশপুর,20,বগুড়া,জয়পুরহাট,20,বগুড়া,জয়পুরহাট,19,জয়পুরহাট,জয়পুরহাট 
38,47,থিপুর,11,বগুড়া,জয়পুরহাট ,11,বগুড়া,জয়পুরহাট ,11,জয়পুরহাট,জয়পুরহাট সদর
38,47,সেখপাড়া,13,বগুড়া,জয়পুরহাট,13,বগুড়া,জয়পুরহাট,13,জয়পুরহাট,জয়পুরহাট সদর
38,47,নেজামপুর,21,বগুড়া,জয়পুরহাট,21,বগুড়া,জয়পুরহাট,20,জয়পুরহাট,জয়পুরহাট 
38,47,দোগর,15,বগুড়া,জয়পুরহাট ,15,বগুড়া,জয়পুরহাট ,15,জয়পুরহাট,জয়পুরহাট সদর
38,47,কল্যানপুর,1,বগুড়া,জয়পুরহাট ,1,বগুড়া,জয়পুরহাট ,1,জয়পুরহাট,জয়পুরহাট সদর 
38,47,দরিয়াপাড়া,3,বগুড়া,জয়পুরহাট,3,বগুড়া,জয়পুরহাট,3,জয়পুরহাট,জয়পুরহাট 
38,47,রামকৃষ্ণপুর,2,বগুড়া,জয়পুরহাট ,2,বগুড়া,জয়পুরহাট ,2,জয়পুরহাট,জয়পুরহাট সদর
38,47,উত্তর সেখপুর,6,বগুড়া,জয়পুরহাট ,6,বগুড়া,জয়পুরহাট ,6,জয়পুরহাট,জয়পুরহাট সদর
38,47,ওয়াদাপুর,18,বগুড়া,জয়পুরহাট,18,বগুড়া,জয়পুরহাট,17,জয়পুরহাট,জয়পুরহাট 
38,47,ছোট হেলকুন্ডা,130,বগুড়া,জয়পুরহাট,128,বগুড়া,জয়পুরহাট,119,জয়পুরহাট,জয়পুরহাট 
38,47,গদনসহর,120,বগুড়া,জয়পুরহাট,120,বগুড়া,জয়পুরহাট,111,জয়পুরহাট,জয়পুরহাট 
38,47,নাকুরীয়া,100,বগুড়া,জয়পুরহাট,99,বগুড়া,জয়পুরহাট,91,জয়পুরহাট,জয়পুরহাট 
38,47,রঘুনাথপুর,10,বগুড়া,জয়পুরহাট ,10,বগুড়া,জয়পুরহাট ,10,জয়পুরহাট,জয়পুরহাট সদর
38,47,চক উজ্জল,33,বগুড়া,জয়পুরহাট,33,বগুড়া,জয়পুরহাট,33,জয়পুরহাট,জয়পুরহাট 
38,47,রাজনগর,29,বগুড়া,জয়পুরহাট,29,বগুড়া,জয়পুরহাট,31,জয়পুরহাট,জয়পুরহাট 
38,47,ঈশ্বরপুর,46,বগুড়া,জয়পুরহাট,46,বগুড়া,জয়পুরহাট,41,জয়পুরহাট,জয়পুরহাট 
38,47,বরকতপাড়া,35,বগুড়া,জয়পুরহাট,35,বগুড়া,জয়পুরহাট,34,জয়পুরহাট,জয়পুরহাট 
38,47,রামনগর,32,বগুড়া,জয়পুরহাট,32,বগুড়া,জয়পুরহাট,32,জয়পুরহাট,জয়পুরহাট 
38,47,ডালিম্বা,63,বগুড়া,জয়পুরহাট,63,বগুড়া,জয়পুরহাট,57,জয়পুরহাট,জয়পুরহাট 
38,47,খোর্দ্দ সগুনা,65,বগুড়া,জয়পুরহাট,65,বগুড়া,জয়পুরহাট,59,জয়পুরহাট,জয়পুরহাট 
38,47,সিমুলিয়া,60,বগুড়া,জয়পুরহাট,60,বগুড়া,জয়পুরহাট,54,জয়পুরহাট,জয়পুরহাট 
