DISTRICT GEO CODE,UPAJILA GEO CODE,MOUJA NAME,CS JL NO,CS DISTRICT,cs upazila,SA JL NO,SA DISTRICT,sa upazila,RS JL NO,RS DISTRICT,rs upazila
73,12,পশ্চিম ছাতনাই,1,রংপুর,ডিমলা,1,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,ঠাকুরগঞ্জ,2,রংপুর,ডিমলা,2,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,কালিগঞ্জ,3,রংপুর,ডিমলা,3,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,ঝাড় সিংহেরস্বর,4,রংপুর,ডিমলা,5,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,পূর্ব ছাতনাই,5,রংপুর,ডিমলা,6,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,ছাতনাই,6,রংপুর,ডিমলা,7,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,মধ্য ছাতনাই,7,রংপুর,ডিমলা,8,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,ছাতনাই বালাপাড়া,8,রংপুর,ডিমলা,9,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,সোভনগঞ্জ বালাপাড়া,9,রংপুর,ডিমলা,10,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,দক্ষিন বালাপাড়া,10,রংপুর,ডিমলা,11,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,উত্তর সুন্দরখাতা,11,রংপুর,ডিমলা,12,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,নিজ সুন্দরখাতা,12,রংপুর,ডিমলা,13,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,মধ্য সুন্দরখাতা,13,রংপুর,ডিমলা,14,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
73,12,রুপাহাড়া,14,রংপুর,ডিমলা,15,রংপুর,ডিমলা,,নীলফামারী,ডিমলা
