Zilla Code,Upazila Code,Union Name,Unioun
73,12,বালাপাড়া,13
73,12,বালাপাড়া,13
73,12,ডিমলা,19
73,12,ডিমলা,19
73,12,গয়াবাড়ী,28
73,12,গয়াবাড়ী,28
73,12,গয়াবাড়ী,28
73,12,ঝুনাগাছ চাপানী,38
73,12,ঝুনাগাছ চাপানী,38
73,12,ঝুনাগাছ চাপানী,38
73,12,ঝুনাগাছ চাপানী,38
73,12,খালিশা চাপানী,47
73,12,খালিশা চাপানী,47
73,12,খগা খড়িবাড়ী,57
73,12,খগা খড়িবাড়ী,57
73,12,খগা খড়িবাড়ী,57
73,12,নাউতারা ,66
73,12,নাউতারা ,66
73,12,পশ্চিম ছাতনাই,76
73,12,পশ্চিম ছাতনাই,76
73,12,পশ্চিম ছাতনাই,76
73,12,পূর্ব ছাতনাই,85
73,12,পূর্ব ছাতনাই,85
73,12,টেপা খড়িবাড়ী,95
73,12,টেপা খড়িবাড়ী,95
73,12,টেপা খড়িবাড়ী,95
73,15,বামুনিয়া,17
73,15,বামুনিয়া,17
73,15,ভোগডাবুড়ী,19
73,15,ভোগডাবুড়ী,19
73,15,বোড়াগাড়ী,28
73,15,বোড়াগাড়ী,28
73,15,ডোমার,38
73,15,ডোমার,38
73,15,গোমনাতী,47
73,15,গোমনাতী,47
73,15,হরিনচরা,57
73,15,হরিনচরা,57
73,15,জোড়াবাড়ী,66
73,15,জোড়াবাড়ী,66
73,15,কেতকীবাড়ী,76
73,15,কেতকীবাড়ী,76
73,15,পাংগা মটকপুর,85
73,15,পাংগা মটকপুর,85
73,15,সোনারায়,95
73,15,সোনারায়,95
73,36,বালাগ্রাম,13
73,36,বালাগ্রাম,13
73,36,ডাউয়াবাড়ী,14
73,36,ডাউয়াবাড়ী,14
73,36,ধর্মপাল,21
73,36,ধর্মপাল,21
73,36,গোলমুন্ডা,29
73,36,গোলমুন্ডা,29
73,36,গোলমুন্ডা,29
73,36,গোলনা,36
73,36,গোলনা,36
73,36,কৈমারী,51
73,36,কৈমারী,51
73,36,কাঠালী,58
73,36,কাঠালী,58
73,36,খুটামারা,65
73,36,খুটামারা,65
73,36,মীরগঞ্জ,80
73,36,মীরগঞ্জ,80
73,36,শিমুলবাড়ী,87
73,36,শিমুলবাড়ী,87
73,36,শৌলমারী,94
73,36,শৌলমারী,94
73,45,বাহাগিলি,17
73,45,বাহাগিলি,17
73,45,বড়ভিটা,25
73,45,বড়ভিটা,25
73,45,চাঁদখানা,34
73,45,চাঁদখানা,34
73,45,গাড়াগ্রাম,43
73,45,গাড়াগ্রাম,43
73,45,কিশোরগঞ্জ,51
73,45,কিশোরগঞ্জ,51
73,45,মাগুরা,60
73,45,মাগুরা,60
73,45,নিতাই,69
73,45,নিতাই,69
73,45,পুটিমারী,86
73,45,পুটিমারী,86
73,45,রনচন্ডি,94
73,45,রনচন্ডি,94
73,64,চাপড়া সরঞ্জামী,11
73,64,চাপড়া সরঞ্জামী,11
73,64,চড়াইখোলা,12
73,64,চড়াইখোলা,12
73,64,চওড়া বড়গাছা,18
73,64,চওড়া বড়গাছা,18
73,64,গোড়গ্রাম,25
73,64,গোড়গ্রাম,25
73,64,ইটাখোলা,31
73,64,ইটাখোলা,31
73,64,কচুকাটা,37
73,64,কচুকাটা,37
73,64,খোকশাবাড়ী,44
73,64,খোকশাবাড়ী,44
73,64,কুন্দপুকুর,50
73,64,কুন্দপুকুর,50
73,64,পঞ্চপুকুর,63
73,64,পঞ্চপুকুর,63
73,64,পলাশবাড়ী,69
73,64,পলাশবাড়ী,69
73,64,লক্ষ্মীচাপ,73
73,64,লক্ষ্মীচাপ,73
73,64,রামনগর,75
73,64,রামনগর,75
73,64,সঙ্গলশী,82
73,64,সঙ্গলশী,82
73,64,সোনারায়,88
73,64,সোনারায়,88
73,64,টুপামারী,94
73,64,টুপামারী,94
73,64,টুপামারী,94
73,85,বাঙ্গালীপুর,23
73,85,বাঙ্গালীপুর,23
73,85,বোতলাগাড়ী,27
73,85,বোতলাগাড়ী,27
73,85,কামারপুকুর,40
73,85,কামারপুকুর,40
73,85,কামারপুকুর,40
73,85,খাতা মধুপুর,54
73,85,খাতা মধুপুর,54
73,85,কাশিরাম বেলপুকুর,67
73,85,কাশিরাম বেলপুকুর,67
73,85,কাশিরাম বেলপুকুর,67
73,85,কাশিরাম বেলপুকুর,67
